,target,account,affiliated
481,Hillary Clinton,Joan_Vennochi,False
482,Hillary Clinton,NatureGuy101,False
483,Hillary Clinton,rebeccalipson,False
484,Hillary Clinton,Xxoax,False
485,Hillary Clinton,HRC,False
486,Hillary Clinton,FDCITY,False
487,Hillary Clinton,Faith4Hillary,False
488,Hillary Clinton,DNCWomen,True
489,Hillary Clinton,Norsu2,False
490,Hillary Clinton,johnmanko,False
491,Hillary Clinton,CassandraRules,False
492,Hillary Clinton,Slate,False
493,Hillary Clinton,jmarkwalk,False
494,Hillary Clinton,Anomaly100,False
495,Hillary Clinton,Upworthy,False
496,Hillary Clinton,JohnKerry,False
497,Hillary Clinton,BALWANIKAPIL,False
498,Hillary Clinton,tomperriello,False
499,Hillary Clinton,VRWCTexan,False
500,Hillary Clinton,zacharyebell,False
501,Hillary Clinton,Glenn_Hegar,False
502,Hillary Clinton,TheFive,False
503,Hillary Clinton,schoolbus_soul,False
504,Hillary Clinton,zaksteib,False
505,Hillary Clinton,marymorientes,False
506,Hillary Clinton,Froquesha,False
507,Hillary Clinton,putterrod,False
508,Hillary Clinton,IngrahamAngle,False
509,Hillary Clinton,bcwilliams92,False
510,Hillary Clinton,Madam_President,False
511,Hillary Clinton,spanglishpop,False
512,Hillary Clinton,Temp15544,False
513,Hillary Clinton,icedecay,False
514,Hillary Clinton,BrooklynJuggler,False
515,Hillary Clinton,classic_mouth,False
516,Hillary Clinton,izzybugatti,False
517,Hillary Clinton,jilevin,False
518,Hillary Clinton,strumpetcity,False
519,Hillary Clinton,washingtonpost,False
520,Hillary Clinton,LeighStorz,False
521,Hillary Clinton,texasman2008,False
522,Hillary Clinton,AmyMek,False
523,Hillary Clinton,ca_hillary,True
524,Hillary Clinton,mcirelli92,False
525,Hillary Clinton,clairecmc,False
526,Hillary Clinton,RosieGray,False
527,Hillary Clinton,ClintonGlobal,True
528,Hillary Clinton,Molls30,False
529,Hillary Clinton,SCOTUS_Scalia,False
530,Hillary Clinton,GideonHenry,False
531,Hillary Clinton,vacanti,False
532,Hillary Clinton,samglover,False
533,Hillary Clinton,muradguderian,False
534,Hillary Clinton,TRPhrophet,False
535,Hillary Clinton,RamblingMother,False
536,Hillary Clinton,PolitiBunny,False
537,Hillary Clinton,Seja75,False
538,Hillary Clinton,hubbit,False
539,Hillary Clinton,JewboyDonny,False
540,Hillary Clinton,thegirlwithfood,False
541,Hillary Clinton,ZerlinaMaxwell,False
542,Hillary Clinton,IamTheWindowMan,False
543,Hillary Clinton,occupycorruptDC,False
544,Hillary Clinton,GerryConnolly,False
545,Hillary Clinton,JerseyKidPicks,False
546,Hillary Clinton,AGMarkHerring,False
547,Hillary Clinton,vademocrats,False
548,Hillary Clinton,BobbyJindal,False
549,Hillary Clinton,kimkennedy4,False
550,Hillary Clinton,LaneLewis,False
551,Hillary Clinton,Jeanelynn,False
552,Hillary Clinton,amyklobuchar,False
553,Hillary Clinton,TheCenterLV,False
554,Hillary Clinton,BuffaloBill71,False
555,Hillary Clinton,AramisFraino,False
556,Hillary Clinton,therealjenappel,False
557,Hillary Clinton,HRCSnowShovel,True
558,Hillary Clinton,dedicated_to_it,False
559,Hillary Clinton,ARForHillary,True
560,Hillary Clinton,LaureneDiCillo,False
561,Hillary Clinton,NBCNews,False
562,Hillary Clinton,dl34l,False
563,Hillary Clinton,DRUDGE_REPORT,False
564,Hillary Clinton,philadper2014,False
565,Hillary Clinton,LouiseKatina,False
566,Hillary Clinton,debaterlife,False
567,Hillary Clinton,ReCorwin,False
568,Hillary Clinton,Chefs4Hillary,True
569,Hillary Clinton,LindaSuhler,False
570,Hillary Clinton,foxnation,False
571,Hillary Clinton,GREG61032,False
572,Hillary Clinton,Ash_Bell__,False
573,Hillary Clinton,JamesCarville,False
574,Hillary Clinton,ladygaga,False
575,Hillary Clinton,koolkat14215,False
576,Hillary Clinton,Raging_D_RTR,False
577,Hillary Clinton,CrimsonHotMess,False
578,Hillary Clinton,lbush34,False
579,Hillary Clinton,fuzislippers,False
580,Hillary Clinton,KLSouth,False
581,Hillary Clinton,gdebenedetti,False
582,Hillary Clinton,LibtardLimbaugh,False
583,Hillary Clinton,Mex38Tex,False
584,Hillary Clinton,Reince,False
585,Hillary Clinton,ghostseven77,False
586,Hillary Clinton,WestonMartinez,False
587,Hillary Clinton,crazytas62,False
588,Hillary Clinton,CidEloisa,False
589,Hillary Clinton,DiggingLamb,False
590,Hillary Clinton,MartinOMalley,False
591,Hillary Clinton,moser_kristen,False
592,Hillary Clinton,WhoopiGoldberg,False
593,Hillary Clinton,Univision,False
594,Hillary Clinton,dhz26,False
595,Hillary Clinton,WNTonight,False
596,Hillary Clinton,Tony_Tickets,False
597,Hillary Clinton,foxandfriends,False
598,Hillary Clinton,awj9009,False
599,Hillary Clinton,RickSantorum,False
600,Hillary Clinton,voxdotcom,False
601,Hillary Clinton,BDabs888,False
602,Hillary Clinton,MalachiNorris,False
603,Hillary Clinton,AndreaTantaros,False
604,Hillary Clinton,PhilGlutting,False
605,Hillary Clinton,megadreamin,False
606,Hillary Clinton,marcorubio,False
607,Hillary Clinton,TeamMarco,False
608,Hillary Clinton,LeahR77,False
609,Hillary Clinton,CorrectRecord,False
610,Hillary Clinton,Logan_RTW,False
611,Hillary Clinton,asphaultangel13,False
612,Hillary Clinton,crousselle,False
613,Hillary Clinton,Jami_USA,False
614,Hillary Clinton,HillaryHaikus,True
615,Hillary Clinton,PhxKen,False
616,Hillary Clinton,oliviawilde,False
617,Hillary Clinton,robin45208,False
618,Hillary Clinton,C4Constitution,False
619,Hillary Clinton,DavidCornDC,False
620,Hillary Clinton,pikester45,False
621,Hillary Clinton,TheLastWord,False
622,Hillary Clinton,kimfrederi,False
623,Hillary Clinton,HlLLARY,False
624,Hillary Clinton,ToniforAsm,False
625,Hillary Clinton,businessinsider,False
626,Hillary Clinton,liars_never_win,False
627,Hillary Clinton,Debber66,False
628,Hillary Clinton,andersonDrLJA,False
629,Hillary Clinton,HillaryforNV,True
630,Hillary Clinton,MissLynnetteH,False
631,Hillary Clinton,Waitingforahero,False
632,Hillary Clinton,hillaryclinton,True
633,Hillary Clinton,AP,False
634,Hillary Clinton,davidaxelrod,False
635,Hillary Clinton,NormanSie,False
636,Hillary Clinton,n2toom,False
637,Hillary Clinton,AaronBlakeWP,False
638,Hillary Clinton,WashTimes,False
639,Hillary Clinton,docdebags,False
640,Hillary Clinton,awelab1956,False
641,Hillary Clinton,BuzzFeedAndrew,False
642,Hillary Clinton,BuzzFeedNews,False
643,Hillary Clinton,brithume,False
644,Hillary Clinton,CoachDLG515,False
645,Hillary Clinton,Retired36,False
646,Hillary Clinton,jimlibertarian,False
647,Hillary Clinton,peddoc63,False
648,Hillary Clinton,MaydnUSA,False
