,target,account,affiliated
637,Hillary Clinton,AaronBlakeWP,False
562,Hillary Clinton,dl34l,False
553,Hillary Clinton,TheCenterLV,False
554,Hillary Clinton,BuffaloBill71,False
555,Hillary Clinton,AramisFraino,False
556,Hillary Clinton,therealjenappel,False
558,Hillary Clinton,dedicated_to_it,False
8,Hillary Clinton,BernieSanders,False
560,Hillary Clinton,LaureneDiCillo,False
561,Hillary Clinton,NBCNews,False
563,Hillary Clinton,DRUDGE_REPORT,False
572,Hillary Clinton,Ash_Bell__,False
564,Hillary Clinton,philadper2014,False
565,Hillary Clinton,LouiseKatina,False
566,Hillary Clinton,debaterlife,False
567,Hillary Clinton,ReCorwin,False
7,Hillary Clinton,FoxNews,False
569,Hillary Clinton,LindaSuhler,False
570,Hillary Clinton,foxnation,False
571,Hillary Clinton,GREG61032,False
594,Hillary Clinton,dhz26,False
595,Hillary Clinton,WNTonight,False
596,Hillary Clinton,Tony_Tickets,False
627,Hillary Clinton,Debber66,False
619,Hillary Clinton,DavidCornDC,False
620,Hillary Clinton,pikester45,False
621,Hillary Clinton,TheLastWord,False
622,Hillary Clinton,kimfrederi,False
623,Hillary Clinton,HlLLARY,False
624,Hillary Clinton,ToniforAsm,False
625,Hillary Clinton,businessinsider,False
626,Hillary Clinton,liars_never_win,False
628,Hillary Clinton,andersonDrLJA,False
597,Hillary Clinton,foxandfriends,False
5,Hillary Clinton,realDonaldTrump,False
630,Hillary Clinton,MissLynnetteH,False
631,Hillary Clinton,Waitingforahero,False
4,Hillary Clinton,BarackObama,False
633,Hillary Clinton,AP,False
634,Hillary Clinton,davidaxelrod,False
635,Hillary Clinton,NormanSie,False
636,Hillary Clinton,n2toom,False
618,Hillary Clinton,C4Constitution,False
617,Hillary Clinton,robin45208,False
616,Hillary Clinton,oliviawilde,False
615,Hillary Clinton,PhxKen,False
598,Hillary Clinton,awj9009,False
599,Hillary Clinton,RickSantorum,False
600,Hillary Clinton,voxdotcom,False
601,Hillary Clinton,BDabs888,False
602,Hillary Clinton,MalachiNorris,False
603,Hillary Clinton,AndreaTantaros,False
604,Hillary Clinton,PhilGlutting,False
605,Hillary Clinton,megadreamin,False
606,Hillary Clinton,marcorubio,False
607,Hillary Clinton,TeamMarco,False
608,Hillary Clinton,LeahR77,False
609,Hillary Clinton,CorrectRecord,False
610,Hillary Clinton,Logan_RTW,False
611,Hillary Clinton,asphaultangel13,False
612,Hillary Clinton,crousselle,False
613,Hillary Clinton,Jami_USA,False
6,Hillary Clinton,politico,False
362,Hillary Clinton,akawhit1,False
1,Hillary Clinton,POTUS,False
